id	location	title	unlock_value	available_tools	aux_tools	objectives	briefing	meditation
12	Wakhsh Prime	Hostile Alien Homeworld	27	14:TOGGLE, 5:BUFFER		When the *fire* signal is on, route *buffered* *❷antimemes❷* back toward the hostile alien beings.	Hostile alien beings are present in this area and must be incapacitated before the Renunciants can proceed. This process is complicated by the presence of an antimemetic shield. This shielding can be neutralized if it is made to observe its own antimemes.	When *❷antimemes❷* are made to observe themselves, what exactly is observed? Who or what is doing the observing?
13	D7 Balura	Phase-Shifted Transfer Station	14			When the *phase* signal is off, route the ship's *❶prāna❶*, *❷apāna❷*, and *❸vyāna❸* supplies to the transfer station. || When the *phase* signal is on, route *❶prāna❶* to *❷apāna❷*, *❷apāna❷*, to *❸vyāna❸*, and *❸vyāna❸* to *❶prāna❶*.	This important interdimensional message center and transfer station is phase shifted from the U.V.S. Nirmana. Docking cannot occur until the ship's matter component is aligned correctly. The Renunciants request a realignment of the ship.	The compatibility of matter depends on the alignment of respective energies. Reflect on the various ways that the desynchronization of *phase* has affected your life.
14	Syghinan Prime	Graveyard of the Syghinan Empire	10	16:GREEN, 17:CLEAN		Use *prāna cleaners* to clean the prāna *❶trace❶* as it passes through the vega drive.	A multiplanet civilization in this area perished long ago. However, small amounts of its residual prāna remain. The Renunciants have determined that these traces should be cleaned so they do not have unpredictable effects on the current inhabitants.	Consider the impermanence of the ancient multiplanetary civilization and how the *❶trace❶* of its existence affects the present time.
15	The Batira Object	Galactic Barrier	15	14:TOGGLE		Use the *❶prāna❶*, *❷apāna❷*, and *❸vyāna❸* supplies to create a *bridge* wave-pattern.	A previously unknown galactic barrier has been observed here. Ancient records obtained at Nalanda-1 suggest that it can be crossed by matching its unique energy signatures so that the barrier perceives our ship to be part of itself and not an external object.	For it to function properly, a barrier must enforce a duality between allowed and unallowed objects. How, then, should a barrier classify itself?
16	Invakan-3	Endangered Civilization	21	10:DELAY		Hack the *❷apāna❷* flow of the mahachakra to match the specified pattern.	A stellar weapon taking the form of a massive spinning wheel, known as a mahachakra, appears to be on course toward a planet that hosts an underdeveloped civilization. The Renunciants ask that you protect this civilization by finding a way to deflect the wheel.	By performing actions that affect the world around us according to the wills of the Renunciants, are we altering destiny, or fulfilling destiny?
17	Mathura Nova	Home of the Great Council	13	15:RED, 9:NEGATE		Use the *negation engine* to ensure that *❶canon❶* and *❷heresy❷* are each correct.	It appears that a schism has formed within the Great Council, with each side calling itself canon and the other heresy. This is a destructive development, so the Renunciants request that you fold reality to ensure that both factions are simultaneously correct.	Examine the non-dual nature of what is considered *❶canon❶* and what is considered *❷heresy❷*, and how by definition neither can exist without depending upon the existence of the other.
18	SMO	Spherical Metabolic Object	12	14:TOGGLE		Use the *❸vyāna❸* supply to create a *❸sound❸* wave that is either *high* or *low* frequency depending on which signal is on.	A local life form known as Spherical Metabolic Object (SMO) is attracted to a neutron star pulse, placing it in danger. The Renunciants request you come to its aid. We will accomplish this by mimicking its calls to create signals that draw its attention away from the star.	What is the relationship between *❸sound❸*, a sense faculty for *❸sound❸*, and the ability to evaluate *❸sound❸* positively, negatively, or neutrally?
19	K.N. Uda	Gateway to Tenfold Void	4			When the *X*, *Y*, or *Z* signal is on, route a *❶prāna❶* supply to *❶X❶*, *❶Y❶*, or *❶Z❶* accordingly. || When the *X+Y*, *X+Z*, or *Y+Z* signal is on, route both *❶prāna❶* supplies to those outputs.	Ayatana sense-fields have detected a ship that has prematurely entered tenfold void. In accordance with the law of this region, we must rescue it. We will do this by retrieving the dimension data of the ship from tenfold void and reassembling it in neutral space.	Explore the characteristics of the *❶X❶*, *❶Y❶*, and *❶Z❶* directions within tenfold void and how their properties differ from neutral space.
20	N2 Kurana	Devout Transfer Station	20	16:GREEN, 5:BUFFER		Use *buffers* to store the *words* of *❶prayers❶* and *❸mantras❸*. || When the *amen* signal turns on, release all stored *❶prayers❶* to *❶form❶*. || When the *svāhā* signal turns on, release all stored *❸mantras❸* to *❸form❸*.	The current transfer station contains a devout population that has expressed a collective wish to pay respects to the Renunciants as we pass through. We should not leave these venerators empty-handed. Transform their expressions into physical form.	By what method exactly have *❶prayers❶* and *❸mantras❸* been transformed, and who has performed the transformation?
21	Hrum-Simigan	Binary Satellite System	26	18:XLATE	2:DEMUX	Use the *universal translator* to change *❶light❶* and *❷sound❷* into *❸thought❸*.	The Renunciants have encountered an alien species with no visual aspect, as well as a counterpart species that has nothing but a visual aspect. Translate both non-visual and only-visual information into a third substrate medium so these two species can communicate.	Are *❶light❶* and *❷sound❷* truly equivalent to *❸thought❸*? Is there something lost when translating between these sense-objects?
22	Object Jaguda	Space-Time Anomaly	11	14:TOGGLE		Use the *❶prāna❶* and *❷apāna❷* supplies to stitch the conceptual *thread*.	The Renunciants have perceived a dangerous rupture in the fabric of space-time in this area and have determined that it should be sutured in order to better protect future travelers using this route. To do this, a conceptual thread will be stitched along its length.	Expound on the ways in which space-time can rupture and what effects these may have on reality as perceived by an observer. Then, visualize how the sutured *thread* repairs it.
23	S1 Varnu	Distant Transfer Station	7	16:GREEN, 15:RED		Route *main* to *main* and *backup* to *backup* when both memories are the same.	The more time and distance between the U.V.S. Nirmana and the center of the universe, the more small errors accumulate in its data banks. This may result in false memories. Using the backup data banks to compare for agreement, purify false memories, and uphold true ones.	Ensure that your own memories are free of errors as we approach the edge of the universe.
24	N.S. Huoh	Compromised Generation Ship	23	15:RED, 9:NEGATE		Use the *negation engine* to negate *❷incorrect❷* beliefs about what is *❶real❶* and *❶finite❶*.	A generation ship is experiencing deteriorating conditions due to the spread of extreme worldviews among its residents. These two views are the extreme of nihilism and the extreme of eternalism. The Renunciants should negate these views and restore neutral reality.	What misperceptions of reality might lead one to *❷incorrect❷* conclusions that the universe is not *❶real❶* or that it is not *❶finite❶*?
25	Nagarahara	The Nebula of Re-Observation	3	16:GREEN, 15:RED	2:DEMUX	Use the *❶prāna❶*, *❷apāna❷*, and *❸vyāna❸* supplies to imitate *sense* and route it to *mirror*.	The Renunciants are delayed in their journey through the nebula of re-observation, Nagarahara. Here, it is not possible to observe because re-observation takes place before observation can occur. To open the path forward, mirror the observer until observation is allowed.	By mirroring *❶prāna❶*, *❷apāna❷*, and *❸vyāna❸*, observation takes place before re-observation. Elucidate in detail what is happening during this process.
26	Komidai-2	Holographic Civilization	9		1:VALVE, 2:DEMUX, 3:MUX, 4:SENSE	Reroute *❶shape❶* to *❶motion❶*,  *❸motion❸* to *❸depth❸*, and *❷depth❷* to *❷shape❷*.	The Komidai civilization is regarded as a long-established and powerful existence in this area of space. However, the Renunciants have determined that its basis is illusory. Changes to sense-perception will reveal the holographic nature of this civilization.	Investigate how *❶shape❶*, *❸motion❸*, and *❷depth❷* can combine within the mind to create illusory forms as large and complex as a complete civilization.
27	Z0 Yani	Final Transfer Station	6	5:BUFFER		Use *buffers* to store and release 48 units of *❸snacks❸*.	We have arrived at the last operating transfer station before we enter anti-decoherence mode and cross over the edge of the universe. All relevant preparations have been made. The Renunciants have issued one final request: "Get us some snacks."	Prepare to cross the edge of the universe.
28	Unknown	The Edge of the Universe	2	10:DELAY, 5:BUFFER		Use *buffers* to store four units of *mind* information. || Then release that information to *who*, *what*, *where*, and *when* at the same time.	Anti-decoherence mode is active, but the ship remains in danger of erasure as it weathers extreme conditions. As a safety measure, transcribe the patterns of the Renunciants into buffers in order to preserve their information in case of catastrophic failure.	Do not meditate as a separate activity from this task.
29	Unknown	Gateway to Nirodha	1	9:NEGATE		Use the *negation engine* to mirror *❶space❶* and *❶time❶* with *❷anti-space❷* and *❷anti-time❷*.	We are at the gateway to Nirodha, the end of the universe. As planned, we will use anti-space to collapse space and anti-time to collapse time. This will shut down the vega drive engines, sense-fields, and all other processes of the U.V.S. Nirmana, thus allowing the gate to open.	There is nothing to meditate upon.
30	Nirodha	The End of the Universe	0	10:DELAY, 5:BUFFER		*❶????❶*	The gate to Nirodha is open, but the law of cause and effect prevents us from entering. It is only by refuting and reversing the principle of causality that the ship may proceed. No other actions may take place.  We will not be able to communicate after entering. Therefore, I wanted to say that it was a pleasure traveling with you. Thank you, and goodbye.	????
